ID,Crate,Bug Location,Downloads,Has Fuzzer,Unit Test Coverage,Size (LoC),Unsafe Uses,L,Extra Bug Identifiers,Description,Comment
0103,smallvec,lib.rs,25616565,Y,84.43,2338.0,55.0,3y,,Buffer overflow in \texttt{insert_many} allows writing elements past a vector's size.,L = Latent Time
0019,futures,mutex.rs,18321404,N,65.92,4984.0,84.0,1y,,"\texttt{MappedMutexGuard} can cause data races, violating Rust memory safety garauntees in multi-threaded applications.",
0024,lock_api,rwlock.rs,17066598,N,55.85,1893.0,146.0,3y,,Multiple RAII objects used to represent acquired locks allow for data races. Types that should be accessible only on one thread at a time are allowed to be used concurrently leading to violations of Rust's memory safety garauntees.,
0059,arc-swap,access.rs,8078267,N,85.22,2708.0,32.0,2y,,The \texttt{load} method has incorrect assumptions about lifetimes leading to reading from a dangling pointer.,
0025,im,focus.rs,1108718,Y,68.33,12732.0,23.0,2y,,"\texttt{TreeFocus}, an iterator over trees structures can enable data races when sent across threads.",
0063,xcb,base.rs,710481,N,0.0,1068.0,837.0,5y,,\texttt{Error} drops objects without ownership leading to use-after-free.,
0131,rocket_http,formatter.rs,709986,N,53.94,4287.0,16.0,3y,,A use-after-free is possible in \texttt{Formatter} on panic.,
0145,slice-deque,lib.rs,551934,Y,85.44,5550.0,89.0,3y,,\texttt{drain_filter} can double-free elements with certain predicate functions.,
0046,generator,gen_impl.rs,511115,N,80.56,2094.0,72.0,4y,,\texttt{Generator}s can be sent across threads leading to data races.,
0093,glium,mod.rs,497024,N,67.23,38538.0,4411.0,6y,glium#1907,\texttt{Content} passes uninitialized memory to safe functions.,
0098,ash,util.rs,478335,N,56.43,89015.0,2449.0,2y,ash#354,\texttt{read_spv} returns uninitialized bytes when reading incompletely.,
0015,atom,lib.rs,458802,N,86.91,636.0,25.0,2y,,\texttt{Atom<T>} can be instantiated with any \texttt{T} allowing data races for non thread safe types when used concurrently.,
0164,metrics-util,bucket.rs,336363,N,85.14,2632.0,13.0,2y,metrics#190,\texttt{AtomicBucket<T>} can cause data races.,
0110,libp2p-deflate,lib.rs,299608,N,89.13,230.0,1.0,2y,,\texttt{DeflateOutput} passes uninitialized memory to safe Rust.,
0034,model,lib.rs,280033,N,96.61,288.0,3.0,2y,,\texttt{Shared} bypasses concurrency safety without being marked \texttt{unsafe}.,
0099,claxon,metadata.rs,251257,Y,83.86,3040.0,5.0,6y,claxon#26,\texttt{metadata::read} methods return unitialized memory.,
0146,stackvector,lib.rs,250290,N,84.23,1159.0,32.0,2y,,\texttt{StackVector} trusts an iterator's length bounds which can lead to writing out of bounds.,
0101,gfx-auxil,mod.rs,224184,N,0.0,112.0,1.0,2y,gfx-rs#3567,\texttt{read_spirv} passes unitialized memory to safe Rust.,
0021,futures-intrusive,mutex.rs,145487,N,91.62,8915.0,120.0,2y,,"\texttt{GenericMutexGuard}, an RAII object representing an acquired \texttt{Mutex} lock allow for data races.",
0095,calamine,cfb.rs,113968,N,61.04,5977.0,3.0,4y,,"\texttt{Sectors::get} trusts the size in a file header, exposing uninitialized when a malicious file is used.",
0022,atomic-option,lib.rs,102995,N,0.0,91.0,5.0,6y,,\texttt{AtomicOption<T>} can be used with any type leading to data races with non-thread safe types.,
0106,glsl-layout,array.rs,91050,N,2.99,634.0,1.0,3y,,\texttt{map_array} can double-drop elements in the list if the mapping function panics.,
0162,internment,lib.rs,79730,N,97.1,987.0,13.0,3y,,"Objects wrapped in \texttt{Intern<T>} could always be sent across threads, potentially causing data races.",
0020,beef,generic.rs,63245,N,77.78,949.0,23.0,1y,,\texttt{Cow} allows usage of non-thread safe types concurrently.,
0132,truetype,tape.rs,57500,N,84.27,1908.0,2.0,5y,,\texttt{take_bytes} passes an uninitialized memory buffer to a safe Rust function.,
0069,rusb,device.rs,54460,N,68.92,5149.0,78.0,5y,,"The \texttt{Device} trait lacks \texttt{Send} and \texttt{Sync} bounds, USB devices could cause races across threads.",
0089,fil-ocl,event.rs,43544,N,56.12,12331.0,174.0,3y,,\texttt{EventList} can double-drop elements if the \texttt{Into} implementation of the element panics.,
0042,toolshed,cell.rs,43442,N,86.48,1933.0,23.0,3y,,\texttt{CopyCell} allows data races with non-\texttt{Send} but \texttt{Copy}able types.,
0028,lever,atomics.rs,23497,N,71.12,3352.0,67.0,8m,,\texttt{AtomicBox} allows data races with non-thread safe types.,
0072,tensorflow,lib.rs,59716,N,87.31,120951.0,188.0,5y,,\texttt{TensorType} allows memory unsafe operations but is not \texttt{unsafe}.,
0144,smallstr,string.rs,157835,,,,,,,,
0139,slice,,92913,,,,,,,,
0119,quick-protobuf,,35785,,,,,,,,
0080,bite,read.rs,118526,N,0.0,888.0,44.0,4y,,\texttt{read_framed_max} passes unitialized memory to safe Rust.,
0118,postscript,,23434,,,,,,,,
0159,byte_struct,,21181,,,,,,,,
0074,conquer-once,cell.rs,20520,N,68.72,941.0,22.0,2y,,\texttt{OnceCell} lacks a `Send` bound allowing for data races.,
0027,libsbc,lib.rs,18579,N,0.0,262.0,5.0,2y,,\texttt{Decoder}s can be sent across threads racing their reader objects.,
0128,rblas,,14941,,,,,,,,
0147,speedy,,12286,,,,,,,,
0137,tectonic_xdv,,12103,,,,,,,,
0155,bayer,,10032,,,,,,,,
0108,containers,,9958,,,,,,,,
0058,dces,world.rs,9456,N,77.19,1467.0,1.0,1y,,\texttt{Store}s are assumed to be thread-safe violating concurrency safety.,
0150,stack_dst,,9432,,,,,,,,
0113,marc,,9401,,,,,,,,
0026,may_queue,mpsc.rs,8544,N,86.33,970.0,47.0,3y,,\texttt{Queue}s can send non-thread safe objects across thread boundaries.,
0148,sha,,8412,,,,,,,,
0125,multiqueue,,8302,,,,,,,,
0033,hashconsing,lib.rs,7202,N,66.95,967.0,1.0,5y,,\texttt{Hashable} types are assumed to always be thread-safe.,
0152,shared-mutex,,7029,,,,,,,,
0073,stderr,static_mut.rs,6969,N,61.14,675.0,6.0,4y,,Violates rust aliasing rules by creating multiple mutable references.,
0157,id-map,,6479,,,,,,,,
0048,ticketed_lock,lib.rs,5286,N,0.0,294.0,8.0,4y,,RAII objects for acquired locks allow for data races.,
0029,lexer,read_result.rs,5163,N,56.28,1450.0,16.0,2y,,\texttt{ReaderResult} allows data races with non-thread safe types.,
0156,concread,,5126,,,,,,,,
0114,livesplit-core,,5058,,,,,,,,
0071,eventio,pcap.rs,4968,N,58.86,829.0,1.0,1y,,\texttt{Input} types are assumed to always be thread-safe.,
0078,abi_stable,iters.rs,4793,N,67.31,31914.0,564.0,2y,,Double-drop in \texttt{Vec::drain_filter} from copying \texttt{std} code.,
0060,noise_search,index.rs,4788,N,0.0,6269.0,50.0,4y,,Exposes a \texttt{MvccRwLock} that allows for data races.,
0061,aovec,lib.rs,4446,N,93.06,153.0,5.0,3y,,Contains a concurrent vector type that causes data races.,
0030,cache,lib.rs,3576,N,,493.0,,3y,,,
0016,stack,vector.rs,3467,N,,1252.0,,6y,,,
0161,parallel-event-emitter,,3455,,,,,,,,
0052,reffers,aref.rs,3343,N,,1824.0,,4y,,,
0037,concread,mod.rs,3207,N,,13570.0,,8m,,,
0141,scratchpad,,2977,,,,,,,,
0130,libretro-backend,,2966,,,,,,,,
0136,skulpin-renderer,,2857,,,,,,,,
0040,appendix,lib.rs,2732,N,,401.0,,2y,,,
0090,endian_trait,slices.rs,2722,N,,558.0,,2y,,,
0050,magnetic,mpmc.rs,2638,N,,1327.0,,5y,,,
0149,ruyi,,2628,,,,,,,,
0039,rcu_cell,,2580,N,,407.0,,,,,
0068,buttplug,,2479,N,,15285.0,,,,,
0134,telemetry,,2445,,,,,,,,
0041,unicycle,,2389,N,,1145.0,,,,,
0081,buffoon,,2318,N,,567.0,,,,,
0129,pulse-simple,,2263,,,,,,,,
