id,year,type,ours
RUSTSEC-2016-0001,2016,logic,FALSE
RUSTSEC-2016-0002,2016,logic,FALSE
RUSTSEC-2016-0003,2016,logic,FALSE
RUSTSEC-2016-0004,2016,unmaintained,FALSE
RUSTSEC-2016-0005,2016,unmaintained,FALSE
RUSTSEC-2016-0006,2016,unmaintained,FALSE
RUSTSEC-2017-0001,2017,logic,FALSE
RUSTSEC-2017-0002,2017,logic,FALSE
RUSTSEC-2017-0003,2017,logic,FALSE
RUSTSEC-2017-0004,2017,unsafe,FALSE
RUSTSEC-2017-0005,2017,logic,FALSE
RUSTSEC-2017-0006,2017,logic,FALSE
RUSTSEC-2017-0007,2017,unmaintained,FALSE
RUSTSEC-2018-0001,2018,logic,FALSE
RUSTSEC-2018-0002,2018,logic,FALSE
RUSTSEC-2018-0003,2018,unsafe,FALSE
RUSTSEC-2018-0004,2018,unsafe,FALSE
RUSTSEC-2018-0005,2018,logic,FALSE
RUSTSEC-2018-0006,2018,logic,FALSE
RUSTSEC-2018-0007,2018,logic,FALSE
RUSTSEC-2018-0008,2018,unsafe,FALSE
RUSTSEC-2018-0009,2018,unsafe,FALSE
RUSTSEC-2018-0010,2018,unsafe,FALSE
RUSTSEC-2018-0011,2018,unsafe,FALSE
RUSTSEC-2018-0012,2018,logic,FALSE
RUSTSEC-2018-0013,2018,unsafe,FALSE
RUSTSEC-2018-0014,2018,unmaintained,FALSE
RUSTSEC-2018-0015,2018,unmaintained,FALSE
RUSTSEC-2018-0016,2018,unmaintained,FALSE
RUSTSEC-2018-0017,2018,unmaintained,FALSE
RUSTSEC-2018-0018,2018,unsafe,FALSE
RUSTSEC-2018-0019,2018,unsafe,FALSE
RUSTSEC-2018-0020,2018,unsafe,FALSE
RUSTSEC-2018-0021,2018,unsafe,FALSE
RUSTSEC-2019-0001,2019,logic,FALSE
RUSTSEC-2019-0002,2019,unsafe,FALSE
RUSTSEC-2019-0003,2019,logic,FALSE
RUSTSEC-2019-0004,2019,logic,FALSE
RUSTSEC-2019-0005,2019,unsafe,FALSE
RUSTSEC-2019-0006,2019,unsafe,FALSE
RUSTSEC-2019-0007,2019,logic,FALSE
RUSTSEC-2019-0008,2019,unsafe,FALSE
RUSTSEC-2019-0009,2019,unsafe,FALSE
RUSTSEC-2019-0010,2019,unsafe,FALSE
RUSTSEC-2019-0011,2019,unsafe,FALSE
RUSTSEC-2019-0012,2019,unsafe,FALSE
RUSTSEC-2019-0013,2019,unsafe,FALSE
RUSTSEC-2019-0014,2019,unsafe,FALSE
RUSTSEC-2019-0015,2019,unsafe,FALSE
RUSTSEC-2019-0016,2019,unsafe,FALSE
RUSTSEC-2019-0017,2019,unsafe,FALSE
RUSTSEC-2019-0018,2019,unsafe,FALSE
RUSTSEC-2019-0019,2019,logic,FALSE
RUSTSEC-2019-0020,2019,unsafe,FALSE
RUSTSEC-2019-0021,2019,unsafe,FALSE
RUSTSEC-2019-0022,2019,unsafe,FALSE
RUSTSEC-2019-0023,2019,unsafe,FALSE
RUSTSEC-2019-0024,2019,ignore,FALSE
RUSTSEC-2019-0025,2019,logic,FALSE
RUSTSEC-2019-0026,2019,logic,FALSE
RUSTSEC-2019-0027,2019,logic,FALSE
RUSTSEC-2019-0028,2019,unsafe,FALSE
RUSTSEC-2019-0029,2019,logic,FALSE
RUSTSEC-2019-0030,2019,logic,FALSE
RUSTSEC-2019-0031,2019,unmaintained,FALSE
RUSTSEC-2019-0032,2019,unmaintained,FALSE
RUSTSEC-2019-0033,2019,logic,FALSE
RUSTSEC-2019-0034,2019,unsafe,FALSE
RUSTSEC-2019-0035,2019,unsafe,FALSE
RUSTSEC-2019-0036,2019,unsafe,FALSE
RUSTSEC-2019-0037,2019,unsafe,FALSE
RUSTSEC-2019-0038,2019,unsafe,FALSE
RUSTSEC-2020-0001,2020,logic,FALSE
RUSTSEC-2020-0002,2020,logic,FALSE
RUSTSEC-2020-0003,2020,unmaintained,FALSE
RUSTSEC-2020-0004,2020,unsafe,FALSE
RUSTSEC-2020-0005,2020,unsafe,FALSE
RUSTSEC-2020-0006,2020,unsafe,FALSE
RUSTSEC-2020-0007,2020,unsafe,FALSE
RUSTSEC-2020-0008,2020,logic,FALSE
RUSTSEC-2020-0009,2020,unsafe,FALSE
RUSTSEC-2020-0010,2020,unmaintained,FALSE
RUSTSEC-2020-0011,2020,notice,FALSE
RUSTSEC-2020-0012,2020,unsafe,FALSE
RUSTSEC-2020-0013,2020,unsafe,FALSE
RUSTSEC-2020-0014,2020,unsafe,FALSE
RUSTSEC-2020-0015,2020,logic,FALSE
RUSTSEC-2020-0016,2020,unmaintained,FALSE
RUSTSEC-2020-0017,2020,unsafe,FALSE
RUSTSEC-2020-0018,2020,unmaintained,FALSE
RUSTSEC-2020-0019,2020,logic,FALSE
RUSTSEC-2020-0020,2020,unmaintained,FALSE
RUSTSEC-2020-0021,2020,unsafe,FALSE
RUSTSEC-2020-0022,2020,unsafe,FALSE
RUSTSEC-2020-0023,2020,unsafe,FALSE
RUSTSEC-2020-0024,2020,logic,FALSE
RUSTSEC-2020-0025,2020,unmaintained,FALSE
RUSTSEC-2020-0026,2020,unsafe,FALSE
RUSTSEC-2020-0027,2020,unsafe,FALSE
RUSTSEC-2020-0028,2020,unsafe,FALSE
RUSTSEC-2020-0029,2020,unsafe,FALSE
RUSTSEC-2020-0030,2020,logic,FALSE
RUSTSEC-2020-0031,2020,logic,FALSE
RUSTSEC-2020-0032,2020,unsafe,FALSE
RUSTSEC-2020-0033,2020,unsafe,TRUE
RUSTSEC-2020-0034,2020,unsafe,TRUE
RUSTSEC-2020-0035,2020,unsafe,FALSE
RUSTSEC-2020-0036,2020,unmaintained,FALSE
RUSTSEC-2020-0037,2020,unsafe,FALSE
RUSTSEC-2020-0038,2020,unsafe,TRUE
RUSTSEC-2020-0039,2020,unsafe,FALSE
RUSTSEC-2020-0040,2020,unsafe,FALSE
RUSTSEC-2020-0041,2020,unsafe,FALSE
RUSTSEC-2020-0042,2020,unsafe,FALSE
RUSTSEC-2020-0043,2020,logic,FALSE
RUSTSEC-2020-0044,2020,unsafe,TRUE
RUSTSEC-2020-0045,2020,unsafe,FALSE
RUSTSEC-2020-0046,2020,unsafe,FALSE
RUSTSEC-2020-0047,2020,unsafe,FALSE
RUSTSEC-2020-0048,2020,unsafe,FALSE
RUSTSEC-2020-0049,2020,unsafe,FALSE
RUSTSEC-2020-0050,2020,unsafe,FALSE
RUSTSEC-2020-0051,2020,logic,FALSE
RUSTSEC-2020-0052,2020,unsafe,FALSE
RUSTSEC-2020-0053,2020,unmaintained,FALSE
RUSTSEC-2020-0054,2020,unmaintained,FALSE
RUSTSEC-2020-0055,2020,ignore,FALSE
RUSTSEC-2020-0056,2020,unmaintained,FALSE
RUSTSEC-2020-0057,2020,unmaintained,FALSE
RUSTSEC-2020-0058,2020,unmaintained,FALSE
RUSTSEC-2020-0059,2020,unsafe,TRUE
RUSTSEC-2020-0060,2020,unsafe,FALSE
RUSTSEC-2020-0061,2020,unsafe,FALSE
RUSTSEC-2020-0062,2020,unsafe,FALSE
RUSTSEC-2020-0063,2020,unmaintained,FALSE
RUSTSEC-2020-0064,2020,unmaintained,FALSE
RUSTSEC-2020-0065,2020,unmaintained,FALSE
RUSTSEC-2020-0066,2020,unmaintained,FALSE
RUSTSEC-2020-0067,2020,unmaintained,FALSE
RUSTSEC-2020-0068,2020,logic,FALSE
RUSTSEC-2020-0069,2020,logic,FALSE
RUSTSEC-2020-0070,2020,unsafe,TRUE
RUSTSEC-2020-0071,2020,unsafe,FALSE
RUSTSEC-2020-0072,2020,unsafe,TRUE
RUSTSEC-2020-0073,2020,unsafe,FALSE
RUSTSEC-2020-0074,2020,unsafe,FALSE
RUSTSEC-2020-0075,2020,logic,FALSE
RUSTSEC-2020-0076,2020,unmaintained,FALSE
RUSTSEC-2020-0077,2020,unmaintained,FALSE
RUSTSEC-2020-0078,2020,unsafe,FALSE
RUSTSEC-2020-0079,2020,unsafe,FALSE
RUSTSEC-2020-0080,2020,unsafe,FALSE
RUSTSEC-2020-0081,2020,unsafe,FALSE
RUSTSEC-2020-0082,2020,unsafe,FALSE
RUSTSEC-2020-0083,2020,unmaintained,FALSE
RUSTSEC-2020-0084,2020,unmaintained,FALSE
RUSTSEC-2020-0085,2020,unmaintained,FALSE
RUSTSEC-2020-0086,2020,unmaintained,FALSE
RUSTSEC-2020-0087,2020,unsafe,TRUE
RUSTSEC-2020-0088,2020,unsafe,TRUE
RUSTSEC-2020-0089,2020,logic,FALSE
RUSTSEC-2020-0090,2020,unsafe,TRUE
RUSTSEC-2020-0091,2020,unsafe,FALSE
RUSTSEC-2020-0092,2020,unsafe,TRUE
RUSTSEC-2020-0093,2020,logic,FALSE
RUSTSEC-2020-0094,2020,unsafe,TRUE
RUSTSEC-2020-0095,2020,unmaintained,FALSE
RUSTSEC-2020-0096,2020,unsafe,TRUE
RUSTSEC-2020-0097,2020,unsafe,FALSE
RUSTSEC-2020-0098,2020,unsafe,TRUE
RUSTSEC-2020-0099,2020,unsafe,TRUE
RUSTSEC-2020-0100,2020,unsafe,FALSE
RUSTSEC-2020-0101,2020,unsafe,TRUE
RUSTSEC-2020-0102,2020,unsafe,TRUE
RUSTSEC-2020-0103,2020,unsafe,TRUE
RUSTSEC-2020-0104,2020,unsafe,TRUE
RUSTSEC-2020-0105,2020,unsafe,TRUE
RUSTSEC-2020-0106,2020,unsafe,TRUE
RUSTSEC-2020-0107,2020,unsafe,TRUE
RUSTSEC-2020-0108,2020,unsafe,TRUE
RUSTSEC-2020-0109,2020,unmaintained,TRUE
RUSTSEC-2020-0111,2020,unsafe,TRUE
RUSTSEC-2020-0112,2020,unsafe,TRUE
RUSTSEC-2020-0113,2020,unsafe,TRUE
RUSTSEC-2020-0114,2020,unsafe,TRUE
RUSTSEC-2020-0115,2020,unsafe,TRUE
RUSTSEC-2020-0116,2020,unsafe,TRUE
RUSTSEC-2020-0117,2020,unsafe,TRUE
RUSTSEC-2020-0118,2020,unsafe,TRUE
RUSTSEC-2020-0119,2020,unsafe,TRUE
RUSTSEC-2020-0120,2020,unsafe,TRUE
RUSTSEC-2020-0121,2020,unsafe,TRUE
RUSTSEC-2020-0122,2020,unsafe,TRUE
RUSTSEC-2020-0123,2020,unsafe,TRUE
RUSTSEC-2020-0124,2020,unsafe,TRUE
RUSTSEC-2020-0125,2020,unsafe,TRUE
RUSTSEC-2020-0126,2020,unsafe,TRUE
RUSTSEC-2020-0127,2020,unsafe,TRUE
RUSTSEC-2020-0128,2020,unsafe,TRUE
RUSTSEC-2020-0129,2020,unsafe,TRUE
RUSTSEC-2020-0130,2020,unsafe,TRUE
RUSTSEC-2020-0131,2020,unsafe,TRUE
RUSTSEC-2020-0132,2020,unsafe,TRUE
RUSTSEC-2020-0133,2020,unsafe,TRUE
RUSTSEC-2020-0134,2020,unsafe,TRUE
RUSTSEC-2020-0135,2020,unsafe,TRUE
RUSTSEC-2020-0136,2020,unsafe,TRUE
RUSTSEC-2020-0137,2020,unsafe,TRUE
RUSTSEC-2020-0138,2020,unsafe,TRUE
RUSTSEC-2020-0139,2020,unsafe,TRUE
RUSTSEC-2020-0140,2020,unsafe,TRUE
RUSTSEC-2020-0141,2020,unsafe,TRUE
RUSTSEC-2020-0142,2020,unsafe,TRUE
RUSTSEC-2020-0143,2020,unsafe,TRUE
RUSTSEC-2020-0144,2020,unmaintained,FALSE
RUSTSEC-2020-0145,2020,unsafe,FALSE
RUSTSEC-2020-0146,2020,unsafe,FALSE
RUSTSEC-2020-0147,2020,unmaintained,FALSE
